N,country,year,Q.balance,UV.balance,energy_adequacy,gdp,polyunsatFA_percentseafood,calories_percentseafood,protein_percentseafood,vitaminA_percentseafood,thiamin_percentseafood,niacin_percentseafood,riboflavin_percentseafood,B6_percentseafood,iron_percentseafood,calcium_percentseafood,zinc_percentseafood,native,fishmeal,habitat,spp_farmed,prod_ratio,vitamins_all
92,Indonesia,2011,0.991231069,0.864414408,1,0.061821584,0.121820572,0.098622218,0.186092919,0.248244468,0.166424153,0.228738821,0.119780115,0.185767272,0.152581937,0.082365227,0.215638639,1,0.422222222,0.205882353,0.488636364,0.728798316,0.174942579
93,Iran,2011,0.82628848,0.883532122,1,0.129828173,0.011686311,0.02032221,0.026159692,0.017913351,0.017910874,0.027368266,0.018518706,0.020914504,0.019710418,0.007770321,0.018761251,0,0.222222222,0.735294118,NA,NA,0.018608461
94,Iraq,2011,0.005403842,0.935989742,1,0.094455218,0.002333387,0.005584669,0.009524107,0.013074419,0.004950964,0.005636857,0.005413556,0.007196109,0.004366414,0.004323457,0.004934141,NA,NA,NA,0.034090909,0.660895592,0.00623699
95,Ireland,2011,0.901133525,0.946267348,1,0.337500365,0.03321844,0.054064187,0.076789791,0.027122232,0.087586523,0.091837337,0.029832491,0.083577801,0.172658304,0.009629823,0.105594116,0.9,0.7,0.838235294,0.215909091,0.589779775,0.075979828
96,Israel,2011,0.731221654,0.949625702,1,0.224397998,0.015216044,0.047564249,0.075270345,0.032433282,0.092332814,0.081891723,0.038748964,0.080811257,0.079319692,0.018057424,0.070145325,NA,NA,NA,0.181818182,0.848263583,0.06171756
97,Italy,2011,0.914681087,0.665611025,1,0.26430053,0.019921287,0.056631081,0.089729322,0.046707992,0.086211748,0.083720085,0.043827512,0.088917611,0.267046038,0.024502181,0.160873194,1,0.3,0.558823529,0.568181818,0.686527214,0.100225795
98,Jamaica,2011,0.891983622,0.925385411,1,0.058906984,0.073956787,0.113792264,0.193985264,0.055552027,0.120657137,0.141665853,0.086515485,0.151596722,0.170995538,0.050066086,0.220669573,NA,NA,NA,0.056818182,0.519078103,0.124714803
99,Japan,2011,0.985893092,0.793140576,1,0.252424152,0.079444478,0.206125765,0.279207816,0.136054546,0.12682367,0.319815996,0.180828044,0.292003985,0.80613189,0.338955252,0.54657333,1,0.977777778,0.764705882,0.465909091,0.607060301,0.343398339
100,Jordan,2011,0.663823744,0.960775996,1,0.079963116,0.012759931,0.027805825,0.040547809,0.051652119,0.030151977,0.038765668,0.028349598,0.035402758,0.02977168,0.01505433,0.026707738,NA,NA,NA,0.011363636,0.715423596,0.031981984
101,Kazakhstan,2011,0.966974217,0.717209493,1,0.150973444,0.008956136,0.018251699,0.024789843,0.009371064,0.031512407,0.038766105,0.014631874,0.027604213,0.017932875,0.004136907,0.015662527,NA,NA,NA,0.170454545,0.453492243,0.019952246
102,Kenya,2011,0.830654817,0.419077286,1,0.015023187,0.000594726,0.000736119,0.001383985,0.000169371,0.000978807,0.001959214,0.000409004,0.000999346,0.00131322,0.00188387,0.000825127,NA,NA,NA,0.079545455,0.561491879,0.001067245
103,Kiribati,2011,0.937109971,0.962659412,1,0.007806724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.666666667,0.294117647,0.034090909,0.523008492,NA
104,North Korea,2011,0.973412751,0.731264022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722222222,1,0.882352941,NA,NA,NA
105,South Korea,2011,0.989943027,0.860368625,1,0.230036936,0.066757137,0.179705344,0.26227907,0.067756268,0.111471153,0.256960948,0.152642106,0.2278545,0.586404374,0.281813914,0.425881674,0.844444444,1,0.882352941,NA,NA,0.263848117
106,Kuwait,2011,0.894443158,0.585342698,1,0.566976254,0.01769638,0.040671624,0.060937178,0.047690505,0.040217033,0.049006267,0.040518807,0.043135491,0.070259547,0.02819243,0.07094646,NA,NA,NA,0.068181818,0.532999688,0.048745818
107,Kyrgyzstan,2011,0.77866111,0.856199513,1,0.017254643,0.008468103,0.010762381,0.014163341,0.006173811,0.020583675,0.027066944,0.011323025,0.018664324,0.008828814,0.002506556,0.008020711,NA,NA,NA,0.079545455,0.834187377,0.012895982
108,Laos,2011,0.865210581,0.97372307,1,0.027088329,0.004347227,0.003165328,0.005500754,0.004232576,0.00483412,0.006090406,0.003982452,0.004420449,0.005347409,0.001768464,0.006476464,NA,NA,NA,NA,NA,0.004644043
109,Latvia,2011,0.968239688,0.868101456,1,0.141077586,0.050837944,0.09435485,0.1425233,0.043578348,0.150545102,0.189957329,0.074614203,0.152559376,0.210391739,0.027867707,0.14303411,NA,NA,NA,0.227272727,0.320930006,0.124068489
